新闻 | 2019年07月08日|华为与复旦大学合作开发全国首个医学人工智能课程|近日，华为与复旦大学基础医学院合作开发的 医学人工智能与机器学习课程在上海复旦大学进行集中授课，吸引了来自医学院与附属医院的120多名本科生和研究生参与。
新闻 | 2017年11月16日|华为丁耘：面向5G，培育新能力，抓住新商业机遇|在第八届全球移动宽带论坛上，华为常务董事、运营商BG总裁丁耘呼吁全球运营商在5G到来之前，主动构建新能力，基于4.5G网络积极孵化新业务，支撑未来5G商业成功，促进移动产业新增长。
新闻 | 2017年11月16日|华为举办第五届国际铁路峰会，新ICT加速轨道行业数字化转型|11月15-17日，华为及国际铁路联盟（UIC）在马来西亚吉隆坡与主办方IRITS Events联合举办了第五届国际铁路峰会，并现场展示了华为在轨道交通领域的最新ICT解决方案，吸引了近200名全球厂商、行业领袖及专家参与。
新闻 | 2017年11月16日|BT/EE携手华为打造英国首个5G上下行解耦外场|在英国伦敦举办的第八届全球移动宽带论坛期间，BT/EE携手华为在伦敦测试5G上下行解耦，通过5G上下行解耦提升C-Band覆盖，实现C-Band和1.8GHz共站同覆盖部署。本次展示在端到端的网络环境中通过实际业务演示验证5G上下行解耦。该5G预商用网络的部署，标志着BT/EE和华为的战略伙伴关系更进一步，同时也表明5G技术逐步完善和成熟，向5G商用又迈进了一步。
新闻 | 2017年11月16日|华为阐述TechCity 2018年三大合作方向，加速新技术的商业变现|在英国伦敦举办的全球移动宽带论坛上，华为公布了2018 年TechCity 的三大合作方向。欢迎全球运营商与华为一起继续携手合作，运营商将全面构建技术、商业、社会责任三大领导力，并借TechCity打造美好的全连接城市，丰富城市人民生活。
新闻 | 2017年11月16日|华为与爱丁堡大学签署合作协议，共同探索基于5G网络的AI机器人的潜能|在2017全球移动宽带论坛上，华为与爱丁堡大学签署合作协议，共同研究在5G无线网络中运行的人工智能（AI）机器人的潜能。
新闻 | 2017年11月16日|华为客户荣获2017全球智慧城市博览会两项大奖两项提名|在2017年全球智慧城市博览会上，华为在智慧城市领域的四位客户以他们在提供高质量市民服务、实现可持续发展方面所取得的显著成就，脱颖而出获得主办方颁发的重量级奖项。包括深圳智慧交通项目获得平安城市奖，沙特延布智慧城市获得数据与技术奖。
新闻 | 2017年11月15日|标致雪铁龙集团与华为建立车联网战略合作关系|欧洲第二大汽车制造商法国标致雪铁龙集团携手华为在车联网领域开展长期合作，面向消费者提供新型移动出行服务解决方案。
新闻 | 2017年11月15日|华为轮值CEO胡厚崑：向智能化网络时代迈进，用移动改变世界|第八届全球移动宽带论坛在英国伦敦召开。华为副董事长、轮值CEO胡厚崑在主题演讲中表示，万物互联时代已经到来，IoT带来崭新的增长空间，每个待联接的物，对于运营商来说都是一个用户，运营商可以通过联接和数据业务，每年产生比现在想象空间更为庞大的收入。胡厚崑分享了一组数据，目前全球有2000万个集装箱，3亿个LED路灯，18亿只水表，每年1亿辆新自行车出厂。这些都是未来的新用户，都蕴含着无限广阔的商业机会。
新闻 | 2017年11月15日|华为Wireless X Labs发布“数字天空计划”|使能低空数字化产业经济|在2017全球移动宽带论坛上，华为Wireless X Labs无线应用场景实验室正式发布数字天空计划，通过低空网络覆盖，为无人机应用创新注入活力，使能低空数字化产业经济。
新闻 | 2017年11月15日|华为在全球超算大会2017发布新一代FusionServer V5高性能服务器|华为在全球超算大会2017上（简称SC17）发布了新一代FusionServer V5 4路高性能服务器，包括FusionServer 2488 V5 2U 4 路机架服务器和FusionServer CH242 V5全宽刀片服务器两款。
新闻 | 2017年11月15日|华为联合Heavy Reading发布5G核心网服务化架构白皮书|华为与Heavy Reading联合发布了5G核心网服务化架构（SBA, Service Based Architecture）白皮书，该白皮书全面阐述了服务化架构作为5G 网络切片使能技术的需求背景、定义及关键特性。
新闻 | 2017年11月15日|华为发布按需建站解决方案|助力新兴市场跨越数字鸿沟|在2017 全球移动宽带论坛上，华为针对新兴市场发布Site on Demand（按需建站）解决方案，旨在帮助新兴市场运营商打破基础设施和网络设备边界，使用云化技术和大数据提升网络能力，大幅节省站点总体拥有成本（TCO）。
新闻 | 2017年11月14日|华为发布新型城区宏站TubeStar|在2017全球移动宽带论坛到来之际，华为首次推出TubeStar创新宏站解决方案。该站点解决方案瞄准运营商城区宏站部署成本高，站址获取难、建站效率低3大痛点，打破传统产品理念边界，端到端统一考虑站点在基建、供电、传输和基站设备的综合成本。
新闻 | 2017年11月14日|华为发布RuralStar2.0方案|在2017全球移动宽带论坛到来之际，华为发布了RuralStar 2.0创新农网解决方案。该方案可为偏远地区提供低成本的超远距离语音信号延伸覆盖和农村移动宽带接入，并且投资回报周期小于5年，助力运营商在偏远地区快速建站，实现联所未联。
新闻 | 2017年11月14日|华为以新ICT 为全球超百城市打造智慧城市神经系统|近日，华为重磅亮相 2017 巴塞罗那全球智慧城市博览会，提出以新ICT 打造智慧城市神经系统，让智慧城市成为自循环的有机生命体，使之持续生长。华为联合全球合作伙伴展示了基于云计算、大数据、IoT、AI等技术，涵盖城市管理、公共服务、产业经济方面的解决方案，让城市治理精细、民生服务贴心、经济发展繁荣。同时，华为还举办了全球智慧城市峰会，来自欧盟官方机构、国际标准组织、全球知名咨询公司、相关研究机构，以及杰出智慧城市代表，向超过400位来自全球的城市管理者分享了他们在智慧城市领域的建设经验和睿智思考。
新闻 | 2017年11月14日|华为发布5G频谱立场白皮书，呼吁加强全球频谱协同|在2017全球移动宽带论坛来临之际，华为发布《5G频谱立场白皮书》，提出5G多层频谱概念，并指出5G时代频谱有赖于监管机构对连续频谱的规划和发放，最后呼吁全球行业组织和监管机构积极推进频谱协同，为5G早期部署和规模商用提供及时、充足的频谱资源。
新闻 | 2017年11月14日|华为云产品CCE通过全球首批 “Kubernetes软件一致性认证”|近日，云原生计算基金会 (Cloud Native Computing Foundation, CNCF) 宣布华为云 ‧ 云容器引擎产品CCE(Cloud Container Engine) 正式通过 Kubernetes软件一致性认证。 云容器引擎CCE是华为云面向市场推出的高可靠高性能企业级容器应用管理服务，与去年正式上线。本次获得认证是继华为云获得全球首批Kubernetes认证服务提供商(KCSPs)资格后，华为云在开源云原生领域的努力和贡献再一次得到认可和肯定，也意味着华为云在PaaS服务领域的领先地位得到进一步巩固。
新闻 | 2017年11月14日|华为Wireless X Labs与TPCAST签署合作备忘录 携手开发5G Cloud VR解决方案|在2017年第八届全球移动宽带论坛到来之际，华为无线应用场景实验室（Wireless X Labs）与北京传送科技有限公司（TPCAST）签署谅解备忘录，双方将利用各自在5G网络技术、超低延迟编解码器与实时VR数据控制协议上的优势，联合开发基于5G网络的云端渲染VR解决方案。
新闻 | 2017年11月14日|华为获得2017非洲通信展两项大奖|在2017非洲通信展上，华为获得杰出用户体验奖及最佳广播和宽带融合创新奖。
新闻 | 2017年11月13日|SIRO与华为签署2500万欧元合同，建设爱尔兰光纤宽带|近日，爱尔兰领先运营商SIRO宣布和华为签署价值2500万欧元的合同，发展爱尔兰的光纤宽带。该项目的一期工程将选取50个城镇完成光纤宽带部署，华为将为SIRO提供端到端网络设备。在近期于杭州举办的第四届全球超宽带高峰论坛（UBBF 2017）上，SIRO CEO Sean Atkinson做了SIRO点亮爱尔兰的主旨演讲，同时宣布了这一新合同。
新闻 | 2017年11月13日|华为在2017全球油气峰会展示安全高效产油气ICT解决方案|11月12日，华为以新ICT，安全高效产油气为主题，在阿布扎比举办了2017华为全球油气峰会，吸引了200多名来自全球油气行业的客户、合作伙伴、资深专家出席，共同探讨如何降低成本、确保安全运营、实现可持续发展，助力油气行业向智能化转型。此外，华为还将于11月13日至16日参展第二十届阿布扎比国际石油博览会（ADIPEC），联合斯伦贝谢、霍尼韦尔、SAP、中油瑞飞等合作伙伴，展示勘探、开发、储运、配送 等产业链环节的创新ICT解决方案。
新闻 | 2017年11月10日|华为Wireless X Labs与ABB签署合作备忘录 致力于5G时代的智能制造探索和创新|近日，华为Wireless X Labs无线应用场景实验室与全球领先的电力和自动化技术集团ABB签署合作备忘录MoU，双方将共同研究基于5G 新型网络架构下的产品和技术，并应用到ABB的工业机器人通信和工业自动化解决方案中，共同致力于5G时代的智能制造探索和创新。
新闻 | 2017年11月10日|华为计费解决方案荣获2017年Stratecast | Frost & Sullivan两项大奖|通过对电信计费市场的持续研究，Stratecast | Frost|Sullivan授予华为融合计费解决方案（CBS）2017年 全球产品领导奖，授予华为Mediation 2017年全球市场领导奖。
新闻 | 2017年11月10日|华为携手NTT DOCOMO成功展示日本首个5G毫米波CPE终端真实业务|近日，在日本最大移动通信运营商NTT DOCOMO（以下简称DOCOMO）主办的年度成果公开体验活动近在眼前：5G通信创造崭新的未来生活方式上，DOCOMO与华为联合展示了日本首个5G毫米波CPE(用户端的网络终端设备)真实业务，使得全息视频通话业务成功运行在包含5G毫米波CPE的端到端5G网络上，标志着具备商业化工程能力的5G CPE终端在日本首次应用成功。
新闻 | 2017年11月09日|华为云被用户评为最受欢迎的OpenStack云供应商|在11月6日至8日举行的OpenStack 悉尼峰会上，OpenStack基金会公布了一份最新的用户调查报告。在此报告中，华为云被用户评为最受欢迎的OpenStack云供应商，体现了广大OpenStack用户对华为云操作系统FusionSphere的技术领先性和服务能力的高度认可。
新闻 | 2017年11月09日|华为宣布建设马来西亚OpenLab，推动亚太数字化转型实践|今日，由马来西亚贸工部、马来数字经济发展局、马中商务理事会与华为联合主办的第三届华为亚太创新日在马来西亚首都吉隆坡举行。本届创新日以推动数字经济，探索数字化转型为主题，政策扶持、产业创新、智库献策，各方共同探索亚太区域新兴市场、中小企业、服务、旅游等行业的数字化转型模式。华为将建设马来西亚OpenLab，推动当地数字化转型。
新闻 | 2017年11月08日|华为与云南移动荣获2017 Glotel Awards大奖|全球电信大奖Glotel Awards颁奖典礼于英国伦敦隆重举办，华为与中国移动云南公司（简称云南移动）联合申报的视频彩铃项目获得Glotel颁发的年度最佳业务大奖。
新闻 | 2017年11月07日|非洲电信联盟呼吁推进非洲农村互联网建设|在非洲通信展期间，华为举办非洲信息通信技术（ICT）论坛。会上，非洲电信联盟表示，让非洲的农村与偏远地区接入互联网，对于生活在那里的民众获取经济机会十分重要。连通性、可负担性与可达性是提升非洲数字包容性和农村地区网络覆盖的关键。
新闻 | 2017年11月07日|沃达丰携手华为部署意大利首个5G新空口连接|近日，沃达丰携手华为在米兰完成意大利首个5G新空口连接测试，标志着沃达丰5G网络部署计划向前迈出了重大的一步。
新闻 | 2017年11月06日|华为和DOCOMO联合完成全球首个基于C-Band频段 的5G高可靠性超低时延外场测试|近日，在日本横滨港未来21地区，日本最大移动通信运营商NTT DOCOMO和华为使用工作在4.5GHz频段(C-Band)下的5G 宏站系统，完成了高可靠性低时延（ Ultra-Reliable Low Latency Communication，以下简称URLLC）外场试验，成为全球第一个基于3GPP NR（New Radio）标准成功使用4.5GHz宏站 的URLLC外场测试。
新闻 | 2017年11月03日|华为Wireless X Labs与SoftBank签订联网机器人MOU，探索云化架构下的机器人新应用|近日，华为Wireless X Labs无线应用场景实验室和软银签署了联网机器人领域相关合作谅解备忘录（MOU）。双方将基于5G无线网络技术，软银箱式自主移动机器人Cube和Kibako，在2018年共同实现基于5G技术的智能服务机器人。
新闻 | 2017年11月01日|华为携手欧洲合作伙伴共建生态|提升终端用户综合体验|在华为欧洲生态大会2017上，众多生态合作伙伴、行业精英和知名学者聚集，围绕如何在欧洲创造成功的数字生活与商业活动进行探讨。会议期间，华为介绍了终端云服务近期市场的发展成果，并详细阐述了华为聚合生态伙伴力量，为消费者塑造更优质的终端用户体验的发展愿景。
新闻 | 2017年11月01日|中国太保集团选择华为FusionCube构建计算资源池|近日，中国太平洋保险（集团）股份有限公司（以下简称中国太保集团）选择华为FusionCube超融合基础设施构建计算资源池，为中国太保上海和成都的生产环境提供应用虚拟化资源。
新闻 | 2017年11月01日|华为成功演示业界首次5G VoNR 跨地域（怀柔-雄安）高清通话|近日，华为在IMT-2020（5G）推进组的怀柔5G外场与雄安5G外场分别成功地演示了5G VoNR(5G新空口承载语音)与跨地域高清通话。该演示在IMT-2020（5G）推进组指导下进行，是继跨地域（怀柔-上海）的远程驾驶试验后的又一次重大业务验证。该演示通过5G 新空口实现语音业务的承载，利用5G端到端网络切片技术实现不同外场5G UE间通话，以及QoS保障及网络资源隔离与动态调整。此次5G VoNR演示为业界首次在跨地域场景下的5G高清语音通话。
新闻 | 2017年10月31日|华为与爱知时计电机联合开展NB-IoT水表抄表技术验证|华为和爱知时计电机将联合开展基于NB-IoT技术的抄表技术验证。NB-IoT（Narrow Band IoT）是面向IoT的LPWA（低功耗广域网）之一。在日本国内对水务运营更高效要求的今天，通过被称为下一代LPWA通信的NB-IoT技术，不仅可实现自动抄表，而且可通过对用水量的可视化来提升用户服务质量，加强水管网络的管理，支持水务业务的持续发展。
新闻 | 2017年10月31日|华为企业业务罗马尼亚GSC荣获TSIA“支持人员卓越中心”认证|在2017年技术服务国际会议上，华为企业业务罗马尼亚GSC（全球服务共享中心）荣获支持人员卓越中心认证。这是业界对华为企业服务在全球技术支持人员服务不断创新与实践、提供世界一流的客户服务体验方面的肯定。
新闻 | 2017年10月30日|华为斩获世界宽带论坛三项创新大奖|在2017年世界宽带论坛（Broadband World Forum 2017）期间，华为凭借领先的创新解决方案、与全球运营商的联合创新成果斩获固移融合最佳成就 、最佳智慧家庭网络及 最佳消费者千兆业务三项大奖。
新闻 | 2017年10月30日|华为获得首届Kubernetes指导委员会席位 持续提升开源影响力|Kubernetes社区首届指导委员会（Steering Committee）竞选结果近日揭晓，华为从15家候选厂商/组织（共20名候选人）的激烈角逐中脱颖而出，获得Kubernetes指导委员会席位。
新闻 | 2017年10月30日|华为成为亚洲首家OCI社区全科maintainer|继成为OCI runc、OCI runtime-spec、OCI image-tools、OCI runtime-tools社区的maintainer之后，华为近期又被推举成为OCI image-spec项目的maintainer。自此，华为成为第一个在OCI社区所有重要项目中获得maintainer席位的亚洲地区成员，这标志着华为在容器领域的技术影响力不断大幅提升，并获得社区的认可。
新闻 | 2017年10月30日|华为携手巴基斯坦电信以固网现代化实现品质宽带|近日，华为宣布协助巴基斯坦电信(PTCL)成功完成首批G.fast实验局，同时通过光铜协同建网助力PTCL进一步加速固网现代化改造的进程，实现经济高效建设超宽带网络。
新闻 | 2017年10月30日|华为与Nextek、Quectel合作，共促中东物联网发展|近日，华为与全球知名IT集成商、软件开发商Nextek以及全球领先的无线模块供应商Quectel签署合作协议，旨在共同促进物联网的发展，并在中东建立起合作开放的物联网生态系统，以基于当地市场需求，提供丰富的物联网解决方案。
新闻 | 2017年10月27日|视频编码联合工作组JCT-VC获得2017年艾美工程奖|弗劳恩霍夫协会通讯技术研究所、华为、联发科、诺基亚、高通、三星、索尼共同祝贺视频编码联合工作组（以下简称JCT-VC工作组）获得2017年艾美工程奖。该奖项用于表彰JCT-VC工作组在开发高效视频编码（HEVC）国际标准方面取得的成就。
新闻 | 2017年10月27日|华为在INTELEC 2017面向全球发布智能站点解决方案|在澳大利亚昆士兰黄金海岸举行的INTELEC 2017展会上，华为面向全球客户推出智能站点解决方案。在与众多客户的交流中，华为通过站点智能化，储能锂电化等先进的理念和手段，旨在帮助客户实现价值最大化。
新闻 | 2017年10月27日|华为助力俄罗斯电信商用高品质Wi-Fi网络|日前，华为携手俄罗斯电信(ROS)实现莫斯科区域高品质Wi-Fi网络的商用部署。
新闻 | 2017年10月27日|韩国LG U+联合华为完成全球首次5G 毫米波CPE预商用验证|近日，LG U+和华为一起，使用全球首款基于芯片组架构的5G毫米波CPE，成功完成了全球首次IPTV over 5G 的预商用验证。
新闻 | 2017年10月26日|华为发布多端口NG-fast样机，铜线迎来5G时代|近日，华为超宽铜线NG-Fast技术样机在2017年世界宽带论坛（Broadband World Forum ）发布，实现业界首创的上、下行速率均达5Gbit/s，双向累计10Gbit/s的超高带宽，为全球具有铜线资源的运营商进一步挖掘铜线潜力提供更多可能性。
新闻 | 2017年10月26日|华为发布创新SuperFTTB解决方案，加速实现千兆接入|今日，华为SuperFTTB超宽铜线解决方案在2017年世界宽带论坛（Broadband World Forum ）正式亮相。该方案可帮助运营商实现基于最新212MHz G.fast技术的铜线千兆接入，同时也为运营商提供更加灵活、便于部署的光铜双回传方案，可大大缩短网络建设周期，加快投资回报节奏。
新闻 | 2017年10月25日|华为在第七届世界乘客研讨会上展示航空ICT解决方案|10月24日至26日，由国际航空运输协会（以下简称国际航协）主办的第七届世界乘客研讨会（World Passenger Symposium，WPS）在巴塞罗那国际会展中心举行。研讨会邀请超过700名航空业界高层参加，共同探索航空业数字化转型如何重塑客户体验。华为作为最高级别的主赞助商参会，首次在欧洲航空行业的大舞台上亮相，展示涵盖航空混合云、旅客大数据、行李跟踪、机场可视化运营等一系列领先的航空ICT解决方案，聚焦旅客出行各个环节的体验改善，和航空企业运营效率和收益提升。
新闻 | 2017年10月25日|华为荣获欧洲电信大数据分析峰会“最具创新数据治理方案奖”|今日，在由著名国际展会和咨询服务商Informa联合Telefonica（西班牙电信集团）主办的2017欧洲电信大数据分析峰会(Telco Big Data Analytics Summit Euro 2017)上，华为大数据分析平台（FusionInsight-Universe Analytics）荣获最具创新数据治理方案奖（Most Innovative Data Governance Solution Award）。
新闻 | 2017年10月24日|华为SD-WAN荣膺开放网络国际权威组织ONUG创新大奖|近日，在美国纽约举办的2017年开放网络用户组织（以下简称ONUG）秋季会议上，华为SD-WAN解决方案凭借应用级全路径智能选路与加速，开放业务平台和云化可视运维等创新特性，受到全球领袖级分析师和行业机构的认可，荣获ONUG Right Stuff Innovation Awards创新大奖，充分彰显了华为SD-WAN持续领先行业，成为业界标杆。
新闻 | 2017年10月24日|华为发布SmartWi-Fi 300M 智能全覆盖解决方案|在第四届全球超宽带高峰论坛期间，华为正式发布家庭网络SmartWi-Fi 300M 智能全覆盖解决方案，并现场展示了4K、IoT、语音识别等多种数字家庭应用整合带来的极致Wi-Fi体验。该方案能够创新性地解决复杂的大户型和别墅的家庭高速Wi-Fi覆盖以及多路4K 视频Wi-Fi承载，极大提升用户的超宽带和视频体验。
新闻 | 2017年10月24日|华为和杜比实验室宣布推出全球首款支持杜比视界的IPTV机顶盒|华为和杜比实验室（纽交所代码：DLB）今日宣布，华为Q22机顶盒成为全球首款支持杜比视界（Dolby Vision）高动态范围（HDR）技术的IPTV 机顶盒。
新闻 | 2017年10月20日|华为发布VR OpenLab产业合作计划|推动构建完整的Cloud VR产业生态|在第四届全球超宽带高峰论坛（UBBF 2017）期间，华为正式发布VR OpenLab产业合作计划，致力于推动Cloud VR产业的繁荣发展，促进技术创新，孵化商业场景，构建完整的Cloud VR产业生态。
新闻 | 2017年10月20日|华为发布智简网络，以“智慧”释放超宽带的力量|在第四届全球超宽带高峰论坛期间，华为产品与解决方案总裁汪涛面向全球发布智简网络，通过打造智慧、简单、超宽的超宽带网络，帮助运营商应对未来不确定性业务所带来的挑战，使能其在B2B、B2C、B2H等不同业务领域的新增长。
新闻 | 2017年10月19日|华为提出“品质宽带”价值主张|今日，在第四届全球超宽带高峰论坛期间，华为常务董事、运营商BG总裁丁耘提出品质宽带的价值主张：打破宽带发展的体验瓶颈，满足个人、家庭、企业及智能社会的要求；提升宽带投资效率，缩短投资回报周期，实现价值增长。华为将携手全球运营商、宽带产业上下游合作伙伴共同打造基于品质宽带的产业新生态。
新闻 | 2017年10月19日|华为联合德国Telefonica发布业界首个面向5G的天面方案|近日，在德国慕尼黑举办的2017全球天线技术暨产业论坛上，华为联合德国Telefonica验证并发布了业界首个面向5G的天面方案。该方案解决了面向5G演进过程中，Sub 3GHz全频段4T4R和Massive MIMO同时部署时天面空间紧张的问题。
新闻 | 2017年10月19日|面向5G，华为发布两款全新平台天线支持全频段4T4R和FDD/TDD融合组网|近日，在德国慕尼黑举办的2017全球天线技术暨产业论坛上，华为发布全新的FDD天线平台和全新的FDD/TDD融合天线平台，聚焦全频段4T4R和FDD/TDD融合组网，支持面向5G的天面平滑演进。
新闻 | 2017年10月19日|LG U+联合华为成功完成5G外场双连接技术验证|近日，LG U+联合华为在首尔5G外场成功完成双连接技术验证，通过终端同时连接3.5GHz基站与28GHz基站，可以达到20Gbps的下行传输速率，展示了LG U+和华为在5G联合创新验证方面的又一大成果。
新闻 | 2017年10月18日|华为徐直军：携手运营商共同打造一个敏捷、体验好的B2B专线业务|今日，第四届全球超宽带高峰论坛（Ultra Broadband Forum 2017，以下简称UBBF）在杭州国际博览中心开幕。作为全球超宽带领域最高层级的产业盛会，本届论坛汇聚了800多位运营商、垂直行业领导者、监管机构、标准及产业组织、合作伙伴等行业精英，围绕Grow with All-Cloud Network（全云化，新增长）的主题，共同探讨如何把握行业数字化转型的战略机遇，实现商业新增长。
新闻 | 2017年10月18日|华为发布面向运营商的B2B专线战略|使能新增长|今日，第四届全球超宽带高峰论坛（Ultra Broadband Forum 2017，以下简称UBBF）在杭州国际博览中心开幕。华为提出携手运营商共同打造一个敏捷、体验好的B2B专线业务，使能运营商专线业务增长。
新闻 | 2017年10月18日|华为CloudFabric助力中国移动咪咕公司IT融合资源池建设商用|在第四届超宽带高峰论坛期间，华为与中国移动咪咕公司联合宣布，双方基于华为CloudFabric云数据中心解决方案构建了弹性、智能、精准的数据中心IT融合资源池，并将于近期正式商用。
新闻 | 2017年10月18日|华为助力阿根廷电信荣获LTE话音峰会“最佳话音虚拟化网络”奖|在刚刚结束的2017 LTE话音峰会上，阿根廷电信凭借其领先的云化核心网络荣获 最佳话音虚拟化网络奖，这是业界对阿根廷电信在虚拟化网络方面积极创新与实践的肯定。
新闻 | 2017年10月17日|华为NE5000E 1T平台核心路由器助力山东联通打造超宽云DC骨干网|近日，中国联通山东分公司（以下简称山东联通）与华为携手在济南成功部署了CloudBackbone 解决方案，共同验证了业界领先的NE5000E 1T平台能力和SDN IP 网络优化方案的实时流量调优能力，助力山东联通率先进入超宽云骨干时代。
新闻 | 2017年10月16日|华为Mate 10全球发布，开启智慧手机时代|从智能到智慧，颠覆式创新往往是从勇敢尝试开始的。一个多月前华为在德国柏林发布了华为首款人工智能手机芯片麒麟970后，其所承载的年度旗舰就引人遐想，华为究竟如何去承载人工智能？又能给用户带来哪些差异化的体验？
新闻 | 2017年10月13日|中国电信广州研究院联合华为完成业界首个400GE测试|今日，中国电信股份有限公司广州研究院与华为共同宣布双方完成了全球首个400GE测试。本次联合创新成果，标志着下一代大容量端口技术400GE已经具备商用条件，400GE产业的商用进程将全面加速。
新闻 | 2017年10月13日|华为基于50GE FlexE的5G承载分片路由器成功通过EANTC测试|近日，华为宣布其面向5G承载的基于50GE FlexE（灵活以太）的分片路由器成功通过国际权威第三方独立的通讯技术测试机构欧洲高级网络测试中心（以下简称EANTC）的严格测试，成为业界首个完成基于FlexE的50GE第三方独立测试的厂商， 同时也标志着基于FlexE的50GE技术已经成熟，具备商用能力。
新闻 | 2016年09月11日|柬埔寨与华为进行国家信息通信领域深度合作|柬埔寨首相洪森亲王在南宁出席第13届中国-东盟博览会期间会晤了华为公司高级副总裁李今歌。双方就在柬埔寨国家信息通信领域的进一步深入合作交换了意见。
新闻 | 2016年09月11日|缅甸第一副总统吴敏瑞会见华为，深入展望ICT发展合作|11日，正在南宁出席第13届中国东盟博览会的缅甸第一副总统吴敏瑞会见了华为高级副总裁庞基敏, 华为缅甸子公司CEO章李满及代表团。双方就电子政务发展、信息与通信技术人才培养等话题进行了深入交流。
新闻 | 2016年09月09日|瑞士Sunrise和华为签署5年IT管理服务合同|瑞士Sunrise宣布和华为签署5年IT管理服务合同，合同范围涵盖所有IT基础服务。华为负责Sunrise的IT基础设施运维，包括服务器、虚拟机、存储和网络等，以及平台运维(Windows/Unix/DB)和办公IT运维。该项目的主要目标是：通过华为业界领先的端到端IT运维服务，提升服务质量和业务敏捷性，并加快新业务的上市。
新闻 | 2016年09月09日|华为海洋承建SEAX-1海缆连接马来半岛东岸|华为海洋今天宣布，和Super Sea Cable Networks Pte Ltd（“Super Sea”）签约承建其投资的海缆项目Sea Cable Exchange-1（SEAX-1），连接马来半岛东岸的马来西亚、新加坡和印度尼西亚三个国家。
新闻 | 2016年09月09日|华为助力中国移动掘金“室内数字经济”|无锡海岸城、中国移动、华为和软通动力齐聚江苏无锡海岸城商业广场，共同见证了 “智慧海岸城，开创新商业”4G智慧商场以及中国移动无锡LBS（Location Based Service，定位服务）创新示范的正式发布。
新闻 | 2016年09月08日|华为KunLun操作系统EulerOS 2.0通过UNIX认证|华为今日宣布，KunLun开放架构小型机操作系统EulerOS 2.0获得由The Open Group制定的UNIX 03规范认证证书，这意味着华为KunLun +EulerOS 2.0正式成为了UNIX家族一员。
新闻 | 2016年09月07日|华为与SAP入选“中德智能制造合作2016年试点示范项目”|近日，上海市经信委与工信部举办了中德智能制造试点示范项目经验交流会。在会上工信部领导宣布华为与SAP公司联合申报的华为SAP智能制造联合解决方案试点示范项目以综合评估第一的成绩入选产业示范项目，并给予授牌。
新闻 | 2016年09月06日|华为PON Combo方案助力中国电信向10G PON平滑演进|近日，华为联合中国电信上海研究院顺利完成PON Combo（指GPON与10G PON合一）创新演进方案的系统测试。测试结果表明，华为PON Combo解决方案完全满足电信GPON向10G PON多场景平滑演进诉求，并大大降低了升级难度和成本。
新闻 | 2016年09月06日|华为与ESI签署合作备忘录|创新高性能计算加速工业制造|近日在HUAWEI CONNECT 2016全联接大会上，华为宣布与全球领先的仿真测试解决方案供应商ESI集团（以下简称ESI）签署合作备忘录，双方将在高性能计算和云计算领域加强合作，致力于为全球客户提供创新的工业制造解决方案。同时，华为和ESI在签约现场还联合发布了基于华为高性能计算平台的VPS（PAM-Crash）仿真计算性能白皮书。
新闻 | 2016年09月06日|华为携手Intel发布RSD架构服务器，共建资源池化生态圈|近日，华为携手Intel公司在HUAWEI CONNECT 2016全联接大会上举行联合发布仪式，推出支持Intel RSD（Rack Scale Design）架构的服务器，共同构建资源池化的全新生态圈。华为FusionServer E9000刀片服务器和X6800高密度服务器也由此率先进入全球支持Intel RSD架构的服务器行列。
新闻 | 2016年09月05日|华为发布gMOS体验标准，评估移动游戏体验|华为在HUAWEI CONNECT 2016全联接大会上发布了移动游戏体验的主观评估标准gMOS（Game Mean Opinion Score）。这是第一次在业界用量化的统一语言来表征移动游戏的主观体验，从而为包含开发者、运营商、用户等不同维度在内的整个移动游戏生态，提供明确的量化指标和方向指引。
新闻 | 2016年09月05日|华为发布Cloud Fabric 5.0解决方案|提升数据中心SDN网络运维效率|在上海举办的华为全联接大会HUAWEI CONNECT 2016上，华为发布了面向云业务的Cloud Fabric 5.0解决方案，其核心内容是华为Fabric Insight精细运维解决方案。该方案通过网络状态可视化度量管理和基于大数据的智能分析实现分钟级故障定位，帮助客户提升运维效率、降低运维成本。
新闻 | 2016年09月05日|华为和ABB签订合作备忘录，助力工业迈入全联接时代|在HUAWEI CONNECT 2016全联接大会上，华为与全球领先的电力和自动化技术集团ABB签订合作备忘录，双方共同研发将基于4G LTE的华为OneAir产品和技术应用到ABB的机器人和工业自动化解决方案中，实现机器人的远程无线监控管理、配置、运维、大数据应用和可视化智能生产，携手致力于工业4.0领域的全联接。
新闻 | 2016年09月05日|华为FusionInsight助力Informatica大数据集成解决方案扩展应用|华为与Informatica日前宣布，Informatica PowerCenter数据集成解决方案通过华为Ready测试。该方案部署在华为FusionInsight大数据平台之后，将可提供基于Hadoop大数据平台的ETL（Extract-Transform-Load）处理功能。该技术包含图形化功能强大的ETL处理引擎，能够实现无以伦比的高可扩展性和高性能，为大数据平台提供数据采集、数据转换、数据质量提升及低延时数据同步等能力，从而能够让企业快速、准确地从海量数据中提取关键业务洞察。
新闻 | 2016年09月04日|华为董事长孙亚芳会见印度尼西亚总统佐科•维多多|4日，印度尼西亚总统佐科维多多在杭州会见了华为董事长孙亚芳。双方就数字经济、海洋战略、如何利用ＩＣＴ提升政府效率等问题交换了意见。
